000001|22 11 8 8 10 13 6 11 17 8 15 15 7 14 10 17 21
000002|21 8 19 12 10 14 27 4 14 5 15 17 2 18 24 19
000003|21 4 14 6 14 9 10 5 17 4 11 4 14 25 20 3 15 7 13 17 4 23 4 20 18 11 19 20
000004|22 4 13 5 13 9 20 17 8 11 8 4 14 8 14 17 21
000005|24 3 14 8 10 19 5 24 6 12 10 12 10 9 13 20 8 21 19
000006|23 9 13 9 22 23 15 9 5 17 9 17 10 9 18 10 13 12 9 17 20
000007|22 6 16 4 23 18 10 11 13 9 15 9 8 5 17 27 20
000008|22 6 19 8 13 7 12 33 7 17 21 9 9 10 25 21
000009|23 17 8 14 5 9 14 10 16 7 10 17 8 9 12 7 15 13 5 22 13
000010|21 12 11 6 10 5 16 8 11 7 17 4 15 16 3 18 20 22
000011|25 16 9 13 16 7 23 6 17 9 19 18 20 9 23 19
000012|23 3 17 19 8 8 2 13 7 22 5 14 10 8 5 14 5 12 8 16 19
000013|24 18 9 10 5 22 10 16 6 9 7 11 11 7 9 5 11 3 19 20
000014|24 15 8 25 17 8 13 7 18 7 15 8 15 8 18 18
000015|23 17 17 3 14 5 11 5 17 9 11 6 12 8 11 10 21 22
000016|24 10 7 22 4 20 3 24 7 11 4 13 20 9 13 4 15 8 9 4 14 3 24 18
000017|27 16 6 17 20 6 15 6 29 16 8 12 8 20 5 15 9 11 10 19 21
000018|26 17 9 22 9 15 9 11 15 4 12 31 17 4 17 4 15 16 10 21 22
000019|23 10 15 8 7 7 13 20 10 12 3 13 15 14 18 31 14 14 9 15 10 11 13 5 15 4 26 14
000020|20 9 9 7 9 19 4 15 2 12 7 12 6 11 4 22 14 15 3 16 7 12 9 25 17
000021|24 11 8 8 21 4 13 3 12 14 18 8 16 18 21 20
000022|24 16 4 14 8 18 3 13 13 5 20 7 14 14 8 9 4 12 2 15 7 21 19
000023|25 20 16 6 13 16 9 18 10 10 4 14 4 12 3 15 23 18
000024|24 11 8 19 18 11 9 6 16 6 12 5 11 3 11 4 13 20 20
000025|22 10 14 12 4 14 25 7 4 11 18 8 12 7 21 21
000026|24 19 10 8 3 14 21 15 13 5 15 17 6 11 5 11 10 9 3 21 18
000027|24 14 7 22 5 12 4 13 17 4 11 5 11 7 8 9 14 7 21 19
000028|23 7 15 17 7 10 5 13 12 9 19 8 7 8 12 10 24 20
000029|25 2 15 24 3 12 2 13 4 13 19 2 24 22
000030|22 6 13 8 16 8 12 4 15 16 3 10 7 10 6 13 9 10 12 3 10 11 19 21
000031|24 10 15 5 22 17 5 16 7 8 11 13 10 24 21
000032|24 15 7 9 5 14 25 16 16 10 24 10 10 7 12 12 10 21 19
000033|24 16 9 21 2 13 10 5 5 13 21 6 12 15 6 16 3 11 19
000034|22 9 16 22 7 12 7 10 15 25 6 12 12 7 21 18
000035|24 16 10 7 6 15 3 27 9 10 15 23 20 5 12 6 9 10 21 19
000036|24 4 14 8 16 16 7 12 13 10 20 11 15 9 10 12 7 15 7 22 19
000037|24 17 13 3 6 7 13 23 11 12 3 20 4 9 4 9 9 21 18
000038|21 5 16 2 14 5 13 15 7 19 16 16 15 8 20 18
000039|22 5 13 16 9 8 7 10 5 12 3 13 5 9 16 10 14 22 20
000040|21 4 13 12 8 13 3 20 12 8 9 3 13 8 18 4 14 16 6 8 26 21
000041|22 3 13 14 3 19 16 2 13 5 12 15 9 8 3 19 21
000042|24 17 21 16 7 6 16 4 9 12 4 18 5 10 14 18 8 10 5 13 7 12 6 19 37 12 8 14 12 10 15 3 15 7 16 4 4 12 12 10 11 8 22 21
000043|23 8 10 3 10 4 12 22 6 14 12 4 16 13 14 20
000044|22 7 11 6 11 6 12 23 9 10 5 13 7 11 3 23 17
000045|24 7 16 9 18 6 10 18 5 21 17 6 16 5 13 17 19 29 21
000046|24 17 4 14 3 16 7 8 5 11 3 13 8 21 16 9 12 4 4 4 15 7 19 3 12 2 12 9 20 26 9 5 4 12 7 18 4 12 10 9 15 5 23 26
000047|21 4 12 6 14 15 4 13 9 12 6 10 7 17 6 9 25
000048|24 3 14 2 13 18 2 13 4 9 17 2 12 19 21
000049|22 12 16 4 10 7 7 8 14 18 6 10 5 15 22 15
000050|23 9 10 4 17 9 8 15 1 9 2 13 8 13 12 6 9 3 11 21 17 5 14 6 10 5 6 7 10 20 19
000051|24 3 13 7 10 4 14 3 18 18 8 10 7 11 11 7 7 8 7 8 7 15 22
000052|24 8 14 5 16 3 13 6 7 5 12 7 11 13 11 18 20
000053|24 13 7 15 13 10 8 13 7 11 4 8 3 17 8 9 15 12 18 21
